002045.SZ,国光电器,2006-06-29,8.56,8.9,8.11,0.03971962616822428,-0.08876404494382033
002051.SZ,中工国际,2017-07-17,21.35,20.7,21.03,-0.030444964871194476,0.015942028985507336
002051.SZ,中工国际,2014-04-03,18.38,18.14,19.01,-0.013057671381936803,0.04796030871003313
002054.SZ,德美化工,2008-07-17,15.3,15.76,10.23,0.03006535947712412,-0.3508883248730964
002055.SZ,得润电子,2008-05-13,15.0,16.0,13.0,0.06666666666666667,-0.1875
002055.SZ,得润电子,2008-05-13,15.0,16.0,13.0,0.06666666666666667,-0.1875
002056.SZ,横店东磁,2010-09-27,29.71,31.95,38.77,0.07539548973409621,0.21345852895148681
002063.SZ,远光软件,2009-11-24,15.63,19.26,22.61,0.2322456813819578,0.17393561786085138
002063.SZ,远光软件,2014-10-10,19.29,21.17,22.12,0.0974598237428721,0.0448748228625413
002063.SZ,远光软件,2012-11-03,15.31,14.9,12.7,-0.026779882429784463,-0.14765100671140946
002063.SZ,远光软件,2016-08-23,15.33,13.99,13.5,-0.08741030658838878,-0.03502501786990709
002065.SZ,东华软件,2011-12-31,22.06,21.55,18.5,-0.023118766999093293,-0.1415313225058005
002067.SZ,景兴纸业,2017-02-10,6.7,6.85,6.87,0.022388059701492456,0.0029197080291971478
002069.SZ,獐子岛,2015-03-10,11.85,13.52,14.95,0.1409282700421941,0.10576923076923075
002073.SZ,软控股份,2014-07-14,8.72,9.58,9.73,0.0986238532110091,0.01565762004175369
002073.SZ,软控股份,2014-07-14,8.72,9.58,9.73,0.0986238532110091,0.01565762004175369
002074.SZ,国轩高科,2015-09-02,27.56,23.25,31.26,-0.1563860667634252,0.34451612903225814
002076.SZ,雪莱特,2015-04-14,13.52,18.35,15.6,0.3572485207100593,-0.14986376021798373
002078.SZ,太阳纸业,2017-09-11,8.33,9.67,9.35,0.1608643457382953,-0.03309203722854191
002078.SZ,太阳纸业,2014-04-28,7.39,6.5,3.16,-0.1204330175913396,-0.5138461538461538
002079.SZ,苏州固锝,2010-08-21,8.86,11.17,13.5,0.2607223476297969,0.20859444941808417
002081.SZ,金螳螂,2008-07-11,25.99,26.0,23.18,0.00038476337052718596,-0.10846153846153847
002089.SZ,新海宜,2012-08-15,7.07,7.32,7.84,0.03536067892503536,0.07103825136612016
002090.SZ,金智科技,2013-06-18,8.29,7.9,7.7,-0.04704463208685149,-0.025316455696202552
002091.SZ,江苏国泰,2013-02-26,9.3,9.01,10.65,-0.031182795698924827,0.1820199778024418
002093.SZ,国脉科技,2016-12-29,11.69,10.89,10.16,-0.06843455945252344,-0.06703397612488525
002097.SZ,山河智能,2010-11-18,17.78,16.63,18.35,-0.06467941507311598,0.10342754058929661
002098.SZ,浔兴股份,2011-05-21,15.18,12.56,12.49,-0.17259552042160733,-0.005573248407643334
002099.SZ,海翔药业,2015-01-21,8.39,9.77,10.52,0.1644815256257448,0.0767656090071648
002099.SZ,海翔药业,2010-06-29,18.6,16.13,17.52,-0.1327956989247313,0.08617482951022942
002103.SZ,广博股份,2016-07-27,20.23,20.21,19.51,-0.0009886307464161924,-0.03463631865413158
002104.SZ,恒宝股份,2014-04-25,17.41,15.88,17.75,-0.08788052843193563,0.11775818639798483
002104.SZ,恒宝股份,2014-04-25,17.41,15.88,17.75,-0.08788052843193563,0.11775818639798483
002115.SZ,三维通信,2016-07-19,10.95,11.97,12.69,0.09315068493150698,0.060150375939849524
002116.SZ,中国海诚,2013-12-13,11.93,14.7,13.38,0.23218776194467725,-0.08979591836734684
